"Name","Size","Date Modified","Date Created"
"\\192.168.1.223\tmp\金密钥\课程视频\慧灯禅修课\慧灯禅修课第四册\05-3 慧灯禅修课35 加行的修法-上师瑜伽3.mp4","453.43 MB","2022-08-04 12:29:50 AM","2023-11-13 11:29:06 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\生与死\06 2018新加坡系列讲座 生命的另一面-中阴（上）.mp4","457.32 MB","2020-12-23 5:05:19 PM","2024-10-26 11:48:30 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\环球系列\新加坡\2018新加坡系列讲座 生命的另一面-中阴（上）.mp4","457.32 MB","2021-12-27 8:30:08 PM","2021-12-27 8:30:08 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\环球系列\新加坡\2018新加坡系列讲座 殊胜的忏悔法.mp4","458.42 MB","2021-12-27 8:28:04 PM","2021-12-27 8:28:04 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\经典解读\三十五佛忏悔文\2018新加坡系列讲座 殊胜的忏悔法.mp4","458.42 MB","2020-12-23 5:02:39 PM","2020-12-23 5:02:39 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\曼扎的修法\04 慧灯禅修课32 加行的修法-曼荼罗2.mp4","458.77 MB","2021-02-09 2:40:34 AM","2021-02-09 2:40:34 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\慧灯禅修课\慧灯禅修课第四册\04-2 慧灯禅修课32 加行的修法-曼荼罗2.mp4","458.77 MB","2021-02-09 2:40:34 AM","2021-02-09 2:40:34 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\基础知识\06 三殊胜（中）.mp4","459.78 MB","2020-12-23 9:42:55 AM","2020-12-23 9:42:55 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\慧灯禅修课\慧灯禅修课第一册\02-2 三殊胜（中）.mp4","459.78 MB","2021-12-29 4:45:50 AM","2021-12-29 4:45:50 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\慧灯禅修课\慧灯禅修课第三册\从《佛说稻秆经》谈佛教人生观和世界观3.mp4","460.27 MB","2020-12-23 3:12:53 PM","2020-12-23 3:12:53 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\经典解读\佛说稻秆经\从《佛说稻秆经》谈佛教人生观和世界观3.mp4","460.27 MB","2020-12-23 3:12:53 PM","2020-12-23 3:12:53 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\基础知识\01 三个差别(2014).mp4","460.85 MB","2020-12-23 9:34:15 AM","2020-12-23 9:34:15 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\慧灯禅修课\慧灯禅修课第一册\01 三个差别(2014).mp4","460.85 MB","2020-12-23 9:34:15 AM","2020-12-23 9:34:15 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\皈依的修法\07 慧灯禅修课23 加行的修法-皈依3.mp4","467.99 MB","2020-05-15 2:14:02 AM","2023-11-13 12:13:40 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\慧灯禅修课\慧灯禅修课第四册\01-3 慧灯禅修课23 加行的修法-皈依3.mp4","467.99 MB","2020-05-15 2:14:02 AM","2020-05-15 2:14:02 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\菩提心\10 慧灯禅修课26 加行的修法-菩提心3.mp4","468.09 MB","2021-12-27 9:09:04 PM","2023-11-13 12:18:51 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\慧灯禅修课\慧灯禅修课第四册\02-3 慧灯禅修课26 加行的修法-菩提心3.mp4","468.09 MB","2021-12-27 9:09:04 PM","2021-12-27 9:09:04 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\人生智慧\智慧系列\27 《金刚经》和《心经》2.mp4","470.46 MB","2022-08-08 2:38:43 AM","2023-11-13 11:36:09 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛教心理学\经论解读\02 《金刚经》和《心经》2.mp4","470.46 MB","2022-08-08 2:38:43 AM","2024-10-26 9:49:00 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\环球系列\中国香港\2017香港弘法行 《四法宝鬘论》释义2.mp4","476.13 MB","2021-12-28 8:25:12 PM","2023-11-13 11:02:02 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\经典解读\四法宝鬘论\2017香港弘法行 《四法宝鬘论》释义2.mp4","476.13 MB","2020-12-23 3:22:31 PM","2020-12-23 3:22:31 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\基础知识\05 三殊胜（上）.mp4","479.42 MB","2021-12-29 4:45:45 AM","2021-12-29 4:45:45 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\慧灯禅修课\慧灯禅修课第一册\02-1 三殊胜（上）.mp4","479.42 MB","2020-12-23 9:42:06 AM","2020-12-23 9:42:06 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\菩提心\11 慧灯禅修课27 加行的修法-菩提心4.mp4","484.34 MB","2021-12-27 9:09:40 PM","2023-11-13 12:19:26 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\慧灯禅修课\慧灯禅修课第四册\02-4 慧灯禅修课27 加行的修法-菩提心4.mp4","484.34 MB","2021-12-27 9:09:40 PM","2021-12-27 9:09:40 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\生与死\07 2018新加坡系列讲座 生命的另一面-中阴（下）.mp4","500.90 MB","2021-12-30 6:14:30 AM","2024-10-26 11:39:25 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\环球系列\新加坡\2018新加坡系列讲座 生命的另一面-中阴（下）.mp4","500.90 MB","2020-12-23 5:06:14 PM","2020-12-23 5:06:14 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\人生智慧\提升心灵\12 心灵安顿法.mp4","500.95 MB","2022-01-11 10:27:06 PM","2023-11-13 11:32:47 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\人生智慧\提升心灵\14 心灵安顿法.mp4","500.95 MB","2022-01-11 10:27:06 PM","2022-01-11 10:27:06 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\环球系列\中国台湾\2016台湾弘法行 《三主要道论》2.mp4","501.14 MB","2021-12-28 11:39:55 PM","2023-11-13 10:13:54 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\经典解读\三主要道论\2016台湾弘法行 《三主要道论》2.mp4","501.14 MB","2021-12-28 11:39:55 PM","2021-12-28 11:39:55 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛教心理学\四圣谛详解\15 四圣谛详解15 灭谛4.mp4","521.63 MB","2022-08-29 3:12:36 AM","2024-10-26 12:46:50 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\四圣谛\26 四圣谛详解15 灭谛4.mp4","521.63 MB","2022-08-29 3:12:36 AM","2023-11-13 11:54:33 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\环球系列\中国台湾\2016台湾弘法行 《三主要道论》3.mp4","527.46 MB","2021-12-28 11:39:25 PM","2023-11-13 10:14:30 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\经典解读\三主要道论\2016台湾弘法行 《三主要道论》3.mp4","527.46 MB","2020-12-23 1:41:21 PM","2020-12-23 1:41:21 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛教心理学\四圣谛详解\19 四圣谛详解19 道谛4.mp4","555.92 MB","2022-09-27 2:48:01 AM","2024-10-26 1:10:22 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\四圣谛\30 四圣谛详解19 道谛4.mp4","555.92 MB","2022-09-27 2:48:01 AM","2023-11-13 11:57:44 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛教心理学\四圣谛详解\10 四圣谛详解10 集谛4.mp4","556.95 MB","2022-01-05 11:03:38 PM","2024-10-26 11:47:35 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\四圣谛\21 四圣谛详解10 集谛4.mp4","556.95 MB","2022-01-05 11:03:38 PM","2023-11-13 11:49:41 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛教心理学\四圣谛详解\11 四圣谛详解11 集谛5.mp4","557.47 MB","2022-01-11 12:16:30 AM","2024-10-26 11:57:59 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\四圣谛\22 四圣谛详解11 集谛5.mp4","557.47 MB","2022-01-11 12:16:30 AM","2023-11-13 11:50:09 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛教心理学\四圣谛详解\18 四圣谛详解18 道谛3.mp4","557.50 MB","2022-09-27 2:47:41 AM","2024-10-26 1:04:40 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\四圣谛\29 四圣谛详解18 道谛3.mp4","557.50 MB","2022-09-27 2:47:41 AM","2023-11-13 11:57:35 AM"
